;id;title;authors;identifier;publisher;img_url;creator_id;identifier_type
1263;1318;De eerste wereldoorlog in België. Radiologie in “Trench Coat;R. Van Tiggelen;9,78908E+12;Belgisch Museum voor Radiologie;http://www.deredactie.be/polopoly_fs/1.1141198!image/1177242642.jpg_gen/derivatives/landscape190/1177242642.jpg;1;ASIN
1264;1319;Letters from a Lost Generation - First World War Letters of Vera Brittain and Four Friends: Roland Leighton, Edward Brittain, Victor Richardson, Geoffrey Thurlow;Alan Bishop, Mark Bostridge;349111529; Abacus;http://ecx.images-amazon.com/images/I/41QG1T94TQL._BO2,204,203,200_PIsitb-sticker-arrow-click,TopRight,35,-76_AA300_SH20_OU02_.jpg;1;ASIN
1265;1320;Because You Died: Poetry and Prose of the First World War and After;Vera Brittain;1844084132;Virago Press Ltd;http://ecx.images-amazon.com/images/I/518It4O9AnL._BO2,204,203,200_PIsitb-sticker-arrow-click,TopRight,35,-76_AA300_SH20_OU02_.jpg;1;ASIN
1266;1321;Chronicle Of Youth: Vera Brittain's Great War Diary, 1913-1917;Vera Brittain;1842125427;Phoenix;http://ecx.images-amazon.com/images/I/417G35ENDJL._BO2,204,203,200_PIsitb-sticker-arrow-click,TopRight,35,-76_AA300_SH20_OU02_.jpg;1;ASIN
1267;1322;Stars in a Dark Night: The Letters from Ivor Gurney to the Chapman Family;Anthony Boden;750934670;The History Press Ltd;http://ecx.images-amazon.com/images/I/51E41YWC7NL._BO2,204,203,200_PIsitb-sticker-arrow-click,TopRight,35,-76_AA300_SH20_OU02_.jpg;1;ASIN
1268;1323;Collected Poems;Ivor Gurney;1857547098;Fyfield Books;http://ecx.images-amazon.com/images/I/512JVQVZVQL._BO2,204,203,200_PIsitb-sticker-arrow-click,TopRight,35,-76_AA300_SH20_OU02_.jpg;1;ASIN
1269;1324;The Poems and Plays of Isaac Rosenberg: A Critical Edition;Vivien Noakes;198187157;OUP Oxford;http://ecx.images-amazon.com/images/I/41YTUQaVq1L._BO2,204,203,200_PIsitb-sticker-arrow-click,TopRight,35,-76_AA300_SH20_OU02_.jpg;1;ASIN
1270;1325;The Annotated Collected Poems;Edward Thomas;1852247460;Bloodaxe Books Ltd;http://ecx.images-amazon.com/images/I/51q7RIync7L._SL500_AA300_.jpg;1;ASIN
1271;1326;Out in the Dark: Poetry of the First World War in Context and with Basic Notes;David Roberts;952896915;Saxon Books;http://ecx.images-amazon.com/images/I/51XJHVY2SCL._SL500_AA300_.jpg;1;ASIN
1272;1327;Minds at War: the Poetry and Experience of the First World War;David Roberts;952896907;Saxon Books;http://ecx.images-amazon.com/images/I/51706EWGZ1L._SL500_AA300_.jpg;1;ASIN
1273;1329;A corner of a foreign Field;Fiona Waters;1566490650;Transatlantic Press;http://ecx.images-amazon.com/images/I/519FQ6v-aSL._SL500_AA300_.jpg;120;ASIN
1274;1330;Great battles of World War 1;Anthony Livesey;718132076;Chartwell Books, Inc.;http://ecx.images-amazon.com/images/I/51NfCQqKcdL._SL500_AA300_.jpg;120;ASIN
1275;1331;14/18 Een oorlog in Vlaanderen;Luc Schepens;9020910663;Lannoo;http://ecx.images-amazon.com/images/I/61XRycsm47L._SL500_AA300_.jpg;120;ASIN
1276;1333;Frontleven 14/18;Ria Christens, Koen De Clercq;9020914006;Lannoo;http://i598.photobucket.com/albums/tt68/Stretcher_B/Boeken/DSC_0005.jpg;120;ASIN
1277;1334;Gu Xingqing;In Flanders Field;978-90-209-9096-6;Lannoo;http://i598.photobucket.com/albums/tt68/Stretcher_B/Boeken/DSC_0006.jpg;120;ASIN
1278;1335;De laatste getuige;Piet Chielens, Dominiek Dendooven, Hannelore Decoodt;978 90 209 6560 5;Lannoo;http://i598.photobucket.com/albums/tt68/Stretcher_B/Boeken/DSC_0007.jpg;120;ASIN
1279;1336;Humor in de oorlog;Siegfried Debaeke;90-5508-011-X;De Klaproos;http://i598.photobucket.com/albums/tt68/Stretcher_B/Boeken/DSC_0009.jpg;120;ASIN
1280;1337;Kruisweg. In Flanders Fields;Marc Dejonckheere;90 5655 323 2;Poezie centrum;http://i598.photobucket.com/albums/tt68/Stretcher_B/Boeken/DSC_0010.jpg;120;ASIN
1281;1338;Levende herinnering;Chrisje en Kees Brants;90 5994 052 0;Aprilis;http://i598.photobucket.com/albums/tt68/Stretcher_B/Boeken/DSC_0011.jpg;120;ASIN
1282;1339;Limburg in de Eerste Wereldoorlog;Kamiel Mertens;978 90 76967 38 7;Studium Generale vzw;http://i598.photobucket.com/albums/tt68/Stretcher_B/Boeken/DSC_0012.jpg;120;ASIN
1283;1340;Onsterfelijke fronten;Evelyn De Roodt;90 5911 122 2;Aspekt;http://i598.photobucket.com/albums/tt68/Stretcher_B/Boeken/DSC_0013.jpg;120;ASIN
1284;1342;The best of Fragments from France;Capt. Bruce Bairnsfather;978 1 84884 169 7;Pen & Sword;http://i598.photobucket.com/albums/tt68/Stretcher_B/Boeken/DSC_0015.jpg;120;ASIN
1285;1343;Bullets and Billets;Bruce Bairnsfather;1406504718;Dodo Press;http://ecx.images-amazon.com/images/I/41JGSVG2SJL._BO2,204,203,200_PIsitb-sticker-arrow-click,TopRight,35,-76_AA300_SH20_OU02_.jpg;1;ASIN
1286;1344;Fragments from France;Bruce Bairnsfather;1451013779;Forgotten Books;http://ecx.images-amazon.com/images/I/41c%2BwPhGkrL._BO2,204,203,200_PIsitb-sticker-arrow-click,TopRight,35,-76_AA300_SH20_OU02_.jpg;1;ASIN
1287;1345;Tongeren gedurende de Duitsche Bezetting;J. Paquay;978 90 76967 28 8;Studium Generale vzw;http://i598.photobucket.com/albums/tt68/Stretcher_B/Boeken/DSC_0017.jpg;120;ASIN
1288;1346;The Ironclads of Cambrai;Bryan Cooper;1848841760;Pen & Sword Military ;http://ecx.images-amazon.com/images/I/51WBwsjOqXL._SL500_AA300_.jpg;7;ASIN
1289;1347;Shell Shock: The Diary of Tommy Atkins;Neil Blower;190848702X;FireStep Press;http://ecx.images-amazon.com/images/I/41VbT2p2KLL._BO2,204,203,200_PIsitb-sticker-arrow-click,TopRight,35,-76_AA300_SH20_OU02_.jpg;1;ASIN
1290;1348;Stosstrupen of WWI and Their Legacy;Stephen Bull;1862273626;Spellmount Publishers Ltd;http://ecx.images-amazon.com/images/I/61CCN9LXsfL._SL500_AA300_.jpg;1;ASIN
1291;1349;Portrait of War: The U.S. Army's First Combat Artists and the Doughboys' Experience in WWI;Peter Krass;471670235;John Wiley & Sons;http://ecx.images-amazon.com/images/I/51LrXrm-mkL._BO2,204,203,200_PIsitb-sticker-arrow-click,TopRight,35,-76_AA300_SH20_OU02_.jpg;1;ASIN
1292;1350;The Trenches: A First World War Soldier, 1914-1918 (My Story);Jim Eldridge;1407103776;Scholastic;http://ecx.images-amazon.com/images/I/51YyTF3CKYL._SL500_AA300_.jpg;1;ASIN
1293;1351;The Viking Atlas of World War I;Anthony Livesey;670853720;Viking;http://ecx.images-amazon.com/images/I/51dwkRmQt%2BL._SL500_AA300_.jpg;1;ASIN
1294;1352;The Zeebrugge Raid;Philip Warner;184415677X;Pen & Sword Military;http://ecx.images-amazon.com/images/I/51N3wGrLYTL._SL500_AA300_.jpg;1;ASIN
1295;1353;Herinneringen - Oorlogsjaren: Jeugd in oorlogstijd 1914 - 1918;Achiel Van Acker;978-1-84588-663-9 ;Tempus Editions;http://www.tempus-belgium.com/page83/files/9781845886639.jpg;7;ASIN
